internal_id,bartlett_id,common_name,genus,latitude,longitude,color_code
915,813012,Pine-Eastern White,Pinus,41.681700507,-73.894722362,009b04
920,813017,Pine-Eastern White,Pinus,41.681538442,-73.894869010,009b04
930,813027,Pine-Eastern White,Pinus,41.681178882,-73.895008109,009b04
952,813049,Pine-Eastern White,Pinus,41.680937464,-73.893816003,ffff00
954,813051,Pine-Eastern White,Pinus,41.680929272,-73.893880986,009b04
956,813053,Pine-Eastern White,Pinus,41.680937711,-73.893973698,ffff00
971,813068,Pine-Eastern White,Pinus,41.681807430,-73.894258089,009b04
984,813081,Pine-Eastern White,Pinus,41.681939445,-73.893352370,009b04
992,813089,Pine-Eastern White,Pinus,41.681647140,-73.893252405,009b04
1033,807552,Hemlock-Canadian,Tsuga,41.690349619,-73.894855574,ffff00
1048,807567,Spruce-Norway,Picea,41.689695826,-73.895591804,009b04
1055,807574,Dogwood-Flowering,Cornus,41.689745684,-73.895372967,009b04
1062,807581,Oak-English,Quercus,41.689724086,-73.894538518,009b04
1073,807592,Arborvitae-White Cedar,Thuja,41.689098895,-73.893931097,009b04
1074,807593,Arborvitae-White Cedar,Thuja,41.689107607,-73.893932933,009b04
1076,807595,Arborvitae-White Cedar,Thuja,41.689068118,-73.893940899,009b04
1078,807597,Arborvitae-White Cedar,Thuja,41.689014851,-73.893953852,009b04
1086,807605,Yew-English,Taxus,41.688876690,-73.893931048,009b04
1088,807607,Spruce-Norway,Picea,41.688804803,-73.894044548,009b04
1107,807626,Arborvitae-White Cedar,Thuja,41.688774729,-73.894586497,009b04
1121,807973,Arborvitae-White Cedar,Thuja,41.688910427,-73.894200018,009b04
1125,807977,Arborvitae-White Cedar,Thuja,41.688924829,-73.894115951,009b04
1126,807978,Arborvitae-White Cedar,Thuja,41.688932558,-73.894108497,ffff00
1149,808001,Oak-Pin,Quercus,41.688890042,-73.895295699,009b04
1160,808012,Spruce-Norway,Picea,41.689906475,-73.894256622,009b04
1181,808033,Dogwood-Kousa,Cornus,41.688985406,-73.892522911,009b04
1203,808055,Larch-Common,Larix,41.689767244,-73.893103701,ffff00
1225,808077,Linden,Tilia,41.690051142,-73.893996537,009b04
1240,808092,Linden,Tilia,41.690343006,-73.894521549,009b04
1242,808094,Pine-Eastern White,Pinus,41.690387741,-73.894526613,009b04
1254,808923,Maple-Red,Acer,41.689359531,-73.890346794,009b04
1257,808926,Maple-Red,Acer,41.689240451,-73.890473677,009b04
1258,808927,Maple-Red,Acer,41.689286599,-73.890610225,009b04
1264,808933,Pine-Eastern White,Pinus,41.689249488,-73.890963572,009b04
1276,808945,Spruce-Colorado Blue,Picea,41.689014386,-73.890942972,009b04
1278,808947,Maple-Freeman's,Acer,41.689106134,-73.890985516,009b04
1290,808959,Maple-Freeman's,Acer,41.688942226,-73.890655573,009b04
1297,808966,Birch-River,Betula,41.688740356,-73.890728695,009b04
1308,808977,Hornbeam-European,Carpinus,41.688598585,-73.890748727,009b04
1313,808982,Willow,Salix,41.688848802,-73.890258679,009b04
1314,808983,Spruce-Norway,Picea,41.688893099,-73.890114381,009b04
1346,809015,Spruce-Norway,Picea,41.688787957,-73.890973555,009b04
1349,809018,Corktree-Amur,Phellodendron,41.688444664,-73.891116616,009b04
1397,809759,Oak-Shingle,Quercus,41.688274129,-73.891990037,009b04
1399,809761,Sweetgum-Common,Liquidambar,41.688798530,-73.892288918,009b04
1445,809807,Maple-Sugar,Acer,41.688020047,-73.893282099,009b04
1467,809829,Spruce-Norway,Picea,41.689160100,-73.895521514,ffff00
1469,809831,Douglas Fir,Pseudotsuga,41.689047083,-73.895609434,009b04
1477,809839,Arborvitae-White Cedar,Thuja,41.688789159,-73.895351529,009b04
1478,809840,Pine-Eastern White,Pinus,41.688725014,-73.895235306,ffff00
1479,809841,Fir-White,Abies,41.688720810,-73.895463034,009b04
1483,809845,Arborvitae-White Cedar,Thuja,41.688818761,-73.895799439,009b04
1499,810288,Pine-Eastern White,Pinus,41.688343791,-73.895460045,009b04
1506,810295,Honeylocust-Thornless Common,Gleditsia,41.687949352,-73.895698331,009b04
